code barre 1 ou bien Qr code  article,code barre 2 ou bien Qr code article,code Article  OF,code article résumé,gamme,designation,qte unit,qte reg,redondance,controle
8012542421658,FSB1100C0010,FD03SB2C0005,933C2X20,EP100 30mA,2X20A,1,3,1,c
8012542348856,FSB1100C0012,FD03SB2C0006,933C4X20,EP100 30mA,4X20A,1,2,1,c
8012542421658,FSB1100C0014,FD03SB2C0007,933C2X25,EP100 30mA,2X25A,1,3,1,c
8012542348856,FSB1100C0016,FD03SB2C0008,933C4X25,EP100 30mA,4X25A,1,2,1,c
8012542421658,FSB1100C0018,FD03SB2C0009,933C2X32,EP100 30mA,2X32A,1,3,1,c
8012542348856,FSB1100C0020,FD03SB2C0010,933C4X32,EP100 30mA,4X32A,1,2,1,c
8012542421658,FSB1100C0022,FD03SB2C0011,933C2X40,EP100 30mA,2X40A,1,3,1,c
8012542422259,FSB1100C0024,FD03SB2C0012,933C4X40,EP100 30mA,4X40A,1,1,1,c
8012542421856,FSB1100C0033,FD03SB2C0013,933C2X50,EP100 30mA,2X50A,1,3,1,c
8012542422259,FSB1100C0034,FD03SB2C0014,933C4X50,EP100 30mA,4X50A,1,1,1,c
8012542421856,FSB1100C0035,FD03SB2C0015,933C2X63,EP100 30mA,2X63A,1,3,1,c
8012542422259,FSB1100C0036,FD03SB2C0016,933C4X63,EP100 30mA,4X63A,1,1,1,c
8012542421658,FSB1100D0002,FD03SB2D0017,933D2X10,EP100 30mA,2X10A,1,3,1,c
8012542348856,FSB1100D0004,FD03SB2D0018,933D4X10,EP100 30mA,4X10A,1,2,1,c
8012542421658,FSB1100D0006,FD03SB2D0019,933D2X16,EP100 30mA,2X16A,1,3,1,c
8012542348856,FSB1100D0008,FD03SB2D0020,933D4X16,EP100 30mA,4X16A,1,2,1,c
8012542421658,FSB1100D0010,FD03SB2D0021,933D2X20,EP100 30mA,2X20A,1,3,1,c
8012542348856,FSB1100D0012,FD03SB2D0022,933D4X20,EP100 30mA,4X20A,1,2,1,c
8012542421658,FSB1100D0014,FD03SB2D0023,933D2X25,EP100 30mA,2X25A,1,3,1,c
8012542348856,FSB1100D0016,FD03SB2D0024,933D4X25,EP100 30mA,4X25A,1,2,1,c
8012542421658,FSB1100D0018,FD03SB2D0025,933D2X32,EP100 30mA,2X32A,1,3,1,c
8012542348856,FSB1100D0020,FD03SB2D0026,933D4X32,EP100 30mA,4X32A,1,2,1,c
8012542421658,FSB1100D0022,FD03SB2D0027,933D2X40,EP100 30mA,2X40A,1,3,1,c
8012542422259,FSB1100D0024,FD03SB2D0028,933D4X40,EP100 30mA,4X40A,1,1,1,c
8012542421856,FSB1100D0033,FD03SB2D0029,933D2X50,EP100 30mA,2X50A,1,3,1,c
8012542422259,FSB1100D0034,FD03SB2D0030,933D4X50,EP100 30mA,4X50A,1,1,1,c
8012542421856,FSB1100D0035,FD03SB2D0031,933D2X63,EP100 30mA,2X63A,1,3,1,c
